Rank,Title,IMDb Rating
1,You People,5.5
2,Babylon,7.4
3,Black Panther: Wakanda Forever,6.9
4,Avatar: The Way of Water,7.8
5,The Menu,7.2
6,Shotgun Wedding,5.5
7,The Banshees of Inisherin,7.8
8,Everything Everywhere All at Once,8.0
9,Knock at the Cabin,6.4
10,M3GAN,6.4
11,Infinity Pool,6.8
12,Teen Wolf: The Movie,5.7
13,Pathaan,6.6
14,Puss in Boots: The Last Wish,7.9
15,Plane,6.6
16,Tár,7.6
17,The Fabelmans,7.7
18,Glass Onion,7.2
19,Elvis,7.4
20,The Whale,8.0
21,Im Westen nichts Neues,7.8
22,Triangle of Sadness,7.5
23,A Man Called Otto,7.6
24,The Pale Blue Eye,6.6
25,X,6.6
26,80 for Brady,6.0
27,Murder Mystery 2,
28,Aftersun,7.7
29,Top Gun: Maverick,8.3
30,Bullet Train,7.3
31,Groundhog Day,8.1
32,Cocaine Bear,
33,Kampen om Narvik,6.6
34,Ant-Man and the Wasp: Quantumania,
35,The Wandering Earth 2,8.0
36,To Leslie,7.1
37,Women Talking,7.5
38,Shazam! Fury of the Gods,
39,Knives Out,7.9
40,The Super Mario Bros. Movie,
41,Avatar,7.9
42,Jurassic World: Dominion,5.6
43,The Batman,7.8
44,The Boogeyman,
45,Amsterdam,6.1
46,An Action Hero,7.2
47,Where the Crawdads Sing,7.2
48,Missing,7.4
49,Winnie the Pooh: Blood and Honey,4.9
50,Vengeance,6.8
51,Blonde,5.5
52,Operation Fortune: Ruse de guerre,6.7
53,Oppenheimer,
54,Guillermo del Toro's Pinocchio,7.6
55,"Alice, Darling",5.5
56,Skinamarink,5.1
57,The Godfather,9.2
58,Top Gun,6.9
59,Don't Worry Darling,6.2
60,Devotion,6.6
61,Magic Mike's Last Dance,6.0
62,Black Adam,6.4
63,Barbarian,7.0
64,Black Panther,7.3
65,Bank of Dave,7.1
66,Interstellar,8.6
67,Fast X,
68,Pearl,7.0
69,The Shawshank Redemption,9.3
70,Scream VI,
71,Smile,6.6
72,RRR (Rise Roar Revolt),7.9
73,Murder Mystery,6.0
74,Once Upon a Time in Hollywood,7.6
75,"Pamela, a Love Story",7.3
76,The Northman,7.1
77,Left Behind: Rise of the Antichrist,4.1
78,Nope,6.9
79,Harry Potter and the Sorcerer's Stone,7.6
80,Titanic,7.9
81,Sound of Silence,6.3
82,Close,7.9
83,Love,6.1
84,Living,7.5
85,Fall,6.4
86,We Have a Ghost,
87,When You Finish Saving the World,5.7
88,The Wolf of Wall Street,8.2
89,Dances with Wolves,8.0
90,Violent Night,6.7
91,Dune: Part One,8.0
92,Pulp Fiction,8.9
93,American Psycho,7.6
94,Mission Majnu,7.7
95,The Woman King,6.7
96,Spider-Man: No Way Home,8.2
97,Sick,6.1
98,Killers of the Flower Moon,
99,The Dark Knight,9.0
100,The Fallout,7.0
